No errors
No warnings
147 ms
data source=tafs
2629 results
raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from,fcst_time_to,change_indicator,time_becoming,probability,wind_dir_degrees,wind_speed_kt,wind_gust_kt,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi,altim_in_hg,vert_vis_ft,wx_string,not_decoded,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,sky_cover,cloud_base_ft_agl,cloud_type,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
KTPA 220258Z 2203/2306 VRB04KT P6SM FEW050 SCT100 BKN250 FM220700 12007KT 6SM -RA SCT010 BKN020 OVC040 FM221300 15013G20KT P6SM VCSH SCT006 BKN015 OVC030 FM221800 20013KT P6SM VCSH SCT006 BKN015 OVC030,KTPA,2024-03-22T02:58:00Z,2024-03-22T02:58:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,27.9633,-82.54,2,2024-03-22T03:00:00Z,2024-03-22T07:00:00Z,,,,VRB,4,,,,,6+,,,,,FEW,5000,,SCT,10000,,BKN,25000,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T13:00:00Z,FM,,,120,7,,,,,6,,,-RA,,SCT,1000,,BKN,2000,,OVC,4000,,,,,,,,,,,,,,2024-03-22T13:00:00Z,2024-03-22T18:00:00Z,FM,,,150,13,20,,,,6+,,,VCSH,,SCT,600,,BKN,1500,,OVC,3000,,,,,,,,,,,,,,2024-03-22T18:00:00Z,2024-03-23T06:00:00Z,FM,,,200,13,,,,,6+,,,VCSH,,SCT,600,,BKN,1500,,OVC,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPHL 220258Z 2203/2306 31006KT P6SM SKC FM221600 15006KT P6SM BKN120 FM230500 16010KT P6SM VCSH OVC050,KPHL,2024-03-22T02:58:00Z,2024-03-22T02:58:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,39.8733,-75.2268,2,2024-03-22T03:00:00Z,2024-03-22T16:00:00Z,,,,310,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T16:00:00Z,2024-03-23T05:00:00Z,FM,,,150,6,,,,,6+,,,,,BKN,12000,,,,,,,,,,,,,,,,,,,,2024-03-23T05:00:00Z,2024-03-23T06:00:00Z,FM,,,160,10,,,,,6+,,,VCSH,,OVC,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBRD 220257Z 2203/2224 13004KT 2SM -SN OVC025 FM220500 08004KT 2SM -SN SCT015 OVC020 FM221100 03004KT 6SM -SN OVC023 FM221300 01008KT P6SM OVC050 FM222000 33010KT P6SM SCT050,KBRD,2024-03-22T02:57:00Z,2024-03-22T02:57:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,46.4021,-94.1273,372,2024-03-22T03:00:00Z,2024-03-22T05:00:00Z,,,,130,4,,,,,2,,,-SN,,OVC,2500,,,,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T11:00:00Z,FM,,,80,4,,,,,2,,,-SN,,SCT,1500,,OVC,2000,,,,,,,,,,,,,,,,,2024-03-22T11:00:00Z,2024-03-22T13:00:00Z,FM,,,30,4,,,,,6,,,-SN,,OVC,2300,,,,,,,,,,,,,,,,,,,,2024-03-22T13:00:00Z,2024-03-22T20:00:00Z,FM,,,10,8,,,,,6+,,,,,OVC,5000,,,,,,,,,,,,,,,,,,,,2024-03-22T20:00:00Z,2024-03-23T00:00:00Z,FM,,,330,10,,,,,6+,,,,,SCT,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUL 220257Z 2203/2224 26015G35KT 6SM -SHSN VCSH BKN035 FM220800 28017G30KT P6SM BKN040 FM221000 28016G28KT P6SM SCT045,KHUL,2024-03-22T02:57:00Z,2024-03-22T02:57:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,46.1185,-67.7929,148,2024-03-22T03:00:00Z,2024-03-22T08:00:00Z,,,,260,15,35,,,,6,,,-SHSN VCSH,,BKN,3500,,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-22T10:00:00Z,FM,,,280,17,30,,,,6+,,,,,BKN,4000,,,,,,,,,,,,,,,,,,,,2024-03-22T10:00:00Z,2024-03-23T00:00:00Z,FM,,,280,16,28,,,,6+,,,,,SCT,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPIT 220255Z 2203/2306 VRB03KT P6SM SCT100 FM221200 10008KT P6SM BKN100 FM230000 15005KT P6SM -RA OVC050,KPIT,2024-03-22T02:55:00Z,2024-03-22T02:55:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,40.4814,-80.2083,339,2024-03-22T03:00:00Z,2024-03-22T12:00:00Z,,,,VRB,3,,,,,6+,,,,,SCT,10000,,,,,,,,,,,,,,,,,,,,2024-03-22T12:00:00Z,2024-03-23T00:00:00Z,FM,,,100,8,,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,2024-03-23T00:00:00Z,2024-03-23T06:00:00Z,FM,,,150,5,,,,,6+,,,-RA,,OVC,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD FACT 220255Z 2200/2306 30005KT CAVOK TX26/2212Z TN16/2204Z TEMPO 2200/2207 2000 BR BKN008 PROB40 TEMPO 2200/2204 0300 FG BKN001 BECMG 2207/2209 BKN018 FM221200 18012KT 9999 BKN030 PROB30 TEMPO 2219/2223 TS FEW070CB,FACT,2024-03-22T02:55:00Z,2024-03-22T02:55:00Z,2024-03-22T00:00:00Z,2024-03-23T06:00:00Z,,-33.965,18.602,48,2024-03-22T00:00:00Z,2024-03-22T07:00:00Z,,,,300,5,,,,,6+,,,,,NSC,,,,,,,,,,,,,,,,,,,,,2024-03-22T00:00:00Z,2024-03-22T07:00:00Z,TEMPO,,,,,,,,,1.24,,,BR,,BKN,800,,,,,,,,,,,,,,,,,,,,2024-03-22T00:00:00Z,2024-03-22T04:00:00Z,TEMPO,,40,,,,,,,0.19,,,FG,,BKN,100,,,,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T12:00:00Z,BECMG,1711098000,,300,5,,,,,6+,,,,,BKN,1800,,,,,,,,,,,,,,,,,,,,2024-03-22T12:00:00Z,2024-03-23T06:00:00Z,FM,,,180,12,,,,,6+,,,,,BKN,3000,,,,,,,,,,,,,,,,,,,,2024-03-22T19:00:00Z,2024-03-22T23:00:00Z,TEMPO,,30,,,,,,,,,,TS,,FEW,7000,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFVE 220254Z 2203/2224 29026G43KT 1SM -SN BR SCT007 OVC015 FM220400 29027G44KT 2SM -SN BR OVC017 FM220600 30024G40KT 3SM BLSN VCSH BKN019 FM221000 29020G35KT 5SM BLSN BKN024 FM221300 29021G35KT P6SM SCT030,KFVE,2024-03-22T02:54:00Z,2024-03-22T02:54:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,47.2852,-68.3072,299,2024-03-22T03:00:00Z,2024-03-22T04:00:00Z,,,,290,26,43,,,,1,,,-SN BR,,SCT,700,,OVC,1500,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T06:00:00Z,FM,,,290,27,44,,,,2,,,-SN BR,,OVC,1700,,,,,,,,,,,,,,,,,,,,2024-03-22T06:00:00Z,2024-03-22T10:00:00Z,FM,,,300,24,40,,,,3,,,BLSN VCSH,,BKN,1900,,,,,,,,,,,,,,,,,,,,2024-03-22T10:00:00Z,2024-03-22T13:00:00Z,FM,,,290,20,35,,,,5,,,BLSN,,BKN,2400,,,,,,,,,,,,,,,,,,,,2024-03-22T13:00:00Z,2024-03-23T00:00:00Z,FM,,,290,21,35,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF AMD EGBB 220254Z 2202/2224 23009KT 9999 BKN011 TEMPO 2202/2208 6000 -RADZ BKN007 PROB30 TEMPO 2204/2207 4000 RADZ BECMG 2206/2209 29012KT SCT030 PROB30 TEMPO 2216/2220 7000 SHRA,EGBB,2024-03-22T02:54:00Z,2024-03-22T02:54:00Z,2024-03-22T02:00:00Z,2024-03-23T00:00:00Z,,52.46,-1.758,91,2024-03-22T02:00:00Z,2024-03-22T06:00:00Z,,,,230,9,,,,,6+,,,,,BKN,1100,,,,,,,,,,,,,,,,,,,,2024-03-22T02:00:00Z,2024-03-22T08:00:00Z,TEMPO,,,,,,,,,3.73,,,-RA -DZ,,BKN,700,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T07:00:00Z,TEMPO,,30,,,,,,,2.49,,,RA DZ,,,,,,,,,,,,,,,,,,,,,,,2024-03-22T06:00:00Z,2024-03-23T00:00:00Z,BECMG,1711098000,,290,12,,,,,6+,,,,,SCT,3000,,,,,,,,,,,,,,,,,,,,2024-03-22T16:00:00Z,2024-03-22T20:00:00Z,TEMPO,,30,,,,,,,4.35,,,SHRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSLC 220253Z 2203/2306 15005KT P6SM SKC FM222100 30006KT P6SM SCT080 SCT150 FM230200 18007KT P6SM SCT080 BKN150,KSLC,2024-03-22T02:53:00Z,2024-03-22T02:53:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,40.7707,-111.965,1286,2024-03-22T03:00:00Z,2024-03-22T21:00:00Z,,,,150,5,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T21:00:00Z,2024-03-23T02:00:00Z,FM,,,300,6,,,,,6+,,,,,SCT,8000,,SCT,15000,,,,,,,,,,,,,,,,,2024-03-23T02:00:00Z,2024-03-23T06:00:00Z,FM,,,180,7,,,,,6+,,,,,SCT,8000,,BKN,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHCR 220253Z 2203/2224 VRB05KT P6SM SCT080 SCT150 FM221900 22008KT P6SM SCT080 BKN150,KHCR,2024-03-22T02:53:00Z,2024-03-22T02:53:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,40.4774,-111.433,1708,2024-03-22T03:00:00Z,2024-03-22T19:00:00Z,,,,VRB,5,,,,,6+,,,,,SCT,8000,,SCT,15000,,,,,,,,,,,,,,,,,2024-03-22T19:00:00Z,2024-03-23T00:00:00Z,FM,,,220,8,,,,,6+,,,,,SCT,8000,,BKN,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPHX 220252Z 2203/2306 24004KT P6SM SKC FM220700 09005KT P6SM FEW250 FM222000 26005KT P6SM FEW200 SCT250,KPHX,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,33.4278,-112.004,338,2024-03-22T03:00:00Z,2024-03-22T07:00:00Z,,,,240,4,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T07:00:00Z,2024-03-22T20:00:00Z,FM,,,90,5,,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,2024-03-22T20:00:00Z,2024-03-23T06:00:00Z,FM,,,260,5,,,,,6+,,,,,FEW,20000,,SCT,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMDT 220252Z 2203/2224 32006KT P6SM SKC FM220500 VRB03KT P6SM SKC FM221300 14005KT P6SM BKN070,KMDT,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,40.1962,-76.7725,91,2024-03-22T03:00:00Z,2024-03-22T05:00:00Z,,,,320,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T13:00:00Z,FM,,,VRB,3,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T13:00:00Z,2024-03-23T00:00:00Z,FM,,,140,5,,,,,6+,,,,,BKN,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRWF 220252Z 2203/2224 06010KT 2SM -SN OVC040 FM220500 07006KT 1 1/2SM -SN BR OVC010 FM220900 04006KT 4SM -SN BR OVC008 FM221400 01010G18KT P6SM OVC015,KRWF,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,44.5483,-95.0804,312,2024-03-22T03:00:00Z,2024-03-22T05:00:00Z,,,,60,10,,,,,2,,,-SN,,OVC,4000,,,,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T09:00:00Z,FM,,,70,6,,,,,1.5,,,-SN BR,,OVC,1000,,,,,,,,,,,,,,,,,,,,2024-03-22T09:00:00Z,2024-03-22T14:00:00Z,FM,,,40,6,,,,,4,,,-SN BR,,OVC,800,,,,,,,,,,,,,,,,,,,,2024-03-22T14:00:00Z,2024-03-23T00:00:00Z,FM,,,10,10,18,,,,6+,,,,,OVC,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDCA 220252Z 2203/2306 36007KT P6SM FEW130 FEW250 FM220500 04004KT P6SM SKC FM221400 10007KT P6SM FEW120 FM221900 16009KT P6SM FEW130 FM230400 14009KT P6SM -RA OVC030,KDCA,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,38.8472,-77.0345,4,2024-03-22T03:00:00Z,2024-03-22T05:00:00Z,,,,360,7,,,,,6+,,,,,FEW,13000,,FEW,25000,,,,,,,,,,,,,,,,,2024-03-22T05:00:00Z,2024-03-22T14:00:00Z,FM,,,40,4,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T14:00:00Z,2024-03-22T19:00:00Z,FM,,,100,7,,,,,6+,,,,,FEW,12000,,,,,,,,,,,,,,,,,,,,2024-03-22T19:00:00Z,2024-03-23T04:00:00Z,FM,,,160,9,,,,,6+,,,,,FEW,13000,,,,,,,,,,,,,,,,,,,,2024-03-23T04:00:00Z,2024-03-23T06:00:00Z,FM,,,140,9,,,,,6+,,,-RA,,OVC,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAD 220252Z 2203/2306 03008KT P6SM FEW250 FM220400 VRB03KT P6SM SKC FM221400 11005KT P6SM FEW110 FM221800 16009KT P6SM SCT080 FM230300 14009KT P6SM -RA OVC030,KIAD,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,38.9348,-77.4473,90,2024-03-22T03:00:00Z,2024-03-22T04:00:00Z,,,,30,8,,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T14:00:00Z,FM,,,VRB,3,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T14:00:00Z,2024-03-22T18:00:00Z,FM,,,110,5,,,,,6+,,,,,FEW,11000,,,,,,,,,,,,,,,,,,,,2024-03-22T18:00:00Z,2024-03-23T03:00:00Z,FM,,,160,9,,,,,6+,,,,,SCT,8000,,,,,,,,,,,,,,,,,,,,2024-03-23T03:00:00Z,2024-03-23T06:00:00Z,FM,,,140,9,,,,,6+,,,-RA,,OVC,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBWI 220252Z 2203/2306 35005KT P6SM FEW250 FM220400 03004KT P6SM SKC FM221400 10006KT P6SM FEW130 FM221800 15008KT P6SM FEW150 FM230500 13006KT P6SM -RA OVC030,KBWI,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T06:00:00Z,AMD,39.1733,-76.684,42,2024-03-22T03:00:00Z,2024-03-22T04:00:00Z,,,,350,5,,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,2024-03-22T04:00:00Z,2024-03-22T14:00:00Z,FM,,,30,4,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2024-03-22T14:00:00Z,2024-03-22T18:00:00Z,FM,,,100,6,,,,,6+,,,,,FEW,13000,,,,,,,,,,,,,,,,,,,,2024-03-22T18:00:00Z,2024-03-23T05:00:00Z,FM,,,150,8,,,,,6+,,,,,FEW,15000,,,,,,,,,,,,,,,,,,,,2024-03-23T05:00:00Z,2024-03-23T06:00:00Z,FM,,,130,6,,,,,6+,,,-RA,,OVC,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEYW 220252Z 2203/2224 11015G26KT P6SM SCT025 TEMPO 2203/2204 BKN025 FM220800 12013G23KT P6SM VCSH SCT025 BKN050 TEMPO 2210/2214 29022G31KT 2SM TSRA BKN020CB FM222100 15019G30KT P6SM VCTS BKN030CB OVC050,KEYW,2024-03-22T02:52:00Z,2024-03-22T02:52:00Z,2024-03-22T03:00:00Z,2024-03-23T00:00:00Z,AMD,24.5571,-81.7554,1,2024-03-22T03:00:00Z,2024-03-22T08:00:00Z,,,,110,15,26,,,,6+,,,,,SCT,2500,,,,,,,,,,,,,,,,,,,,2024-03-22T03:00:00Z,2024-03-22T04:00:00Z,TEMPO,,,,,,,,,,,,,,BKN,2500,,,,,,,,,,,,,,,,,,,,2024-03-22T08:00:00Z,2024-03-22T21:00:00Z,FM,,,120,13,23,,,,6+,,,VCSH,,SCT,2500,,BKN,5000,,,,,,,,,,,,,,,,,2024-03-22T10:00:00Z,2024-03-22T14:00:00Z,TEMPO,,,290,22,31,,,,2,,,TSRA,,BKN,2000,CB,,,,,,,,,,,,,,,,,,,2024-03-22T21:00:00Z,2024-03-23T00:00:00Z,FM,,,150,19,30,,,,6+,,,VCTS,,BKN,3000,CB,OVC,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
