No errors
No warnings
102 ms
data source=metars
4813 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
LBGO 220430Z AUTO VRB01KT 9999 4200W NCD M01/M02 Q1021 TEMPO 4000 BR,LBGO,2024-03-22T04:30:00Z,43.151,25.713,-1,-2,VRB,1,,6+,30.15,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,84
LBBG 220430Z AUTO 36009KT 9999 NCD 03/01 Q1019 NOSIG,LBBG,2024-03-22T04:30:00Z,42.569,27.514,3,1,360,9,,6+,30.09,,,TRUE,,,TRUE,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,41
KVUJ 220430Z AUTO 00000KT 10SM CLR 09/03 A3022 RMK AO2 T00920029,KVUJ,2024-03-22T04:30:00Z,35.4173,-80.1508,9.2,2.9,0,0,,10+,30.22,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,174
KUKF 220430Z AUTO 00000KT 10SM CLR 07/00 A3023 RMK AO2,KUKF,2024-03-22T04:30:00Z,36.2188,-81.1002,7,0,0,0,,10+,30.23,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,383
KSUT 220430Z AUTO 07004KT 10SM CLR 12/10 A3023 RMK AO2 T01180102,KSUT,2024-03-22T04:30:00Z,33.9292,-78.0722,11.8,10.2,70,4,,10+,30.23,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6
KSIF 220430Z AUTO 00000KT 10SM CLR 05/M01 A3020 RMK AO2 T00511012,KSIF,2024-03-22T04:30:00Z,36.4408,-79.8544,5.1,-1.2,0,0,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,206
KS59 220430Z AUTO 10003KT 10SM A3000 ,KS59,2024-03-22T04:30:00Z,48.2834,-115.492,,,100,3,,10+,30.00,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,793
KRUQ 220430Z AUTO 00000KT 10SM CLR 09/01 A3017 RMK AO2 T00870007,KRUQ,2024-03-22T04:30:00Z,35.6441,-80.5236,8.7,0.7,0,0,,10+,30.17,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,231
KRHP 220430Z AUTO 00000KT 10SM SCT085 07/02 A3014 RMK AO2 T00650024,KRHP,2024-03-22T04:30:00Z,35.1939,-83.8618,6.5,2.4,0,0,,10+,30.14,,,TRUE,TRUE,,,,,,,SCT,8500,,,,,,,VFR,,,,,,,,,,,,METAR,515
KQFU 220430Z AUTO 15006G12KT 9999 OVC060 14/M03 A2989 RMK A02 TSNO,KQFU,2024-03-22T04:30:00Z,-99.99,-99.99,14,-3,150,6,12,6+,29.89,,,TRUE,TRUE,,,TRUE,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQFB 220430Z AUTO 16003G12KT 9999 FEW050 15/01 A3007 RMK A02 TSNO,KQFB,2024-03-22T04:30:00Z,-99.99,-99.99,15,1,160,3,12,6+,30.07,,,TRUE,TRUE,,,TRUE,,,,FEW,5000,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQEP 220430Z AUTO 14004G12KT 9999 BKN065 15/M03 A2989 RMK A02 TSNO,KQEP,2024-03-22T04:30:00Z,-99.99,-99.99,15,-3,140,4,12,6+,29.89,,,TRUE,TRUE,,,TRUE,,,,BKN,6500,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KMQI 220430Z AUTO 10008KT 10SM CLR 08/02 A3029 RMK AO2 T00760021,KMQI,2024-03-22T04:30:00Z,35.9188,-75.6989,7.6,2.1,100,8,,10+,30.29,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,3
KJNX 220430Z AUTO 16003KT 10SM CLR 10/05 A3023 RMK AO2,KJNX,2024-03-22T04:30:00Z,35.5369,-78.3934,10,5,160,3,,10+,30.23,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,41
KIXA 220430Z AUTO 00000KT 10SM CLR 04/04 A3026 RMK AO2,KIXA,2024-03-22T04:30:00Z,36.331,-77.6333,4,4,0,0,,10+,30.26,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,43
KHRJ 220430Z AUTO 12005KT 10SM CLR 10/05 A3023 RMK AO2 T01030054,KHRJ,2024-03-22T04:30:00Z,35.3794,-78.7356,10.3,5.4,120,5,,10+,30.23,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,55
KHBI 220430Z AUTO 15005KT 10SM CLR 12/00 A3020 RMK AO2 T01230000,KHBI,2024-03-22T04:30:00Z,35.6527,-79.8942,12.3,0,150,5,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,199
KGWW 220430Z AUTO 13005KT 10SM CLR 07/04 A3024 RMK AO2 T00710041,KGWW,2024-03-22T04:30:00Z,35.4637,-77.9604,7.1,4.1,130,5,,10+,30.24,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,40
KGEV 220430Z AUTO 00000KT 10SM CLR 09/M04 A3020 RMK AO2 T00931036,KGEV,2024-03-22T04:30:00Z,36.4312,-81.4206,9.3,-3.6,0,0,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,961
KFQD 220430Z AUTO 00000KT 10SM CLR 12/01 A3017 RMK AO2,KFQD,2024-03-22T04:30:00Z,35.43,-81.936,12,1,0,0,,10+,30.17,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,325
KEYF 220430Z AUTO 09004KT 10SM CLR 10/08 A3022 RMK AO2 T00980078,KEYF,2024-03-22T04:30:00Z,34.6042,-78.579,9.8,7.8,90,4,,10+,30.22,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,39
KEHO 220430Z AUTO 00000KT 10SM CLR 14/02 A3015 RMK AO2 T01410023,KEHO,2024-03-22T04:30:00Z,35.2556,-81.5986,14.1,2.3,0,0,,10+,30.15,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,261
KEDE 220430Z AUTO 11004KT 10SM CLR 07/06 A3028 RMK AO2 T00700057,KEDE,2024-03-22T04:30:00Z,36.0286,-76.5668,7,5.7,110,4,,10+,30.28,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4
KCPC 220430Z AUTO 08004KT 7SM CLR 11/09 A3022 RMK AO2 T01050089,KCPC,2024-03-22T04:30:00Z,34.2753,-78.7146,10.5,8.9,80,4,,7,30.22,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,27
KAFP 220430Z AUTO 00000KT 10SM CLR 13/04 A3018 RMK AO2 T01270038,KAFP,2024-03-22T04:30:00Z,35.0194,-80.0784,12.7,3.8,0,0,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,91
K7W6 220430Z AUTO 08012KT 10SM CLR 09/06 A3026 RMK AO2 T00940062,K7W6,2024-03-22T04:30:00Z,35.5594,-75.955,9.4,6.2,80,12,,10+,30.26,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1
K3U3 220430Z AUTO 00000KT 10SM 03/00 A3006 ,K3U3,2024-03-22T04:30:00Z,46.1516,-112.868,3,0,0,0,,10+,30.06,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1534
K38S 220430Z AUTO 00000KT 10SM 04/04 A3008 ,K38S,2024-03-22T04:30:00Z,46.389,-112.769,4,4,0,0,,10+,30.08,,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,1430
K2W6 220430Z AUTO 00000KT 10SM CLR 00/M05 A3034 RMK AO1,K2W6,2024-03-22T04:30:00Z,38.315,-76.55,0,-5,0,0,,10+,30.34,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,40
K1A5 220430Z AUTO 00000KT 10SM CLR 05/03 A3018 RMK AO2 T00540033,K1A5,2024-03-22T04:30:00Z,35.2228,-83.415,5.4,3.3,0,0,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,611
HRYR 220430Z 34005KT 9999 SCT020 SCT090 19/18 Q1017 NOSIG,HRYR,2024-03-22T04:30:00Z,-1.969,30.14,19,18,340,5,,6+,30.03,,,,,,TRUE,,,,,SCT,2000,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,1493
FMMI 220430Z 14006KT 100V180 9999 FEW017 22/18 Q1018 NOSIG,FMMI,2024-03-22T04:30:00Z,-18.797,47.479,22,18,140,6,,6+,30.06,,,,,,TRUE,,,,,FEW,1700,,,,,,,VFR,,,,,,,,,,,,METAR,1269
DIAP 220430Z 27004KT 6000 -TSRA SCT010 FEW020CB BKN026 23/22 Q1009 TEMPO 3500 TSRA,DIAP,2024-03-22T04:30:00Z,5.261,-3.926,23,22,270,4,,3.73,29.79,,,,,,,,,,-TSRA,SCT,1000,FEW,2000,BKN,2600,,,MVFR,,,,,,,,,,,,METAR,4
CYCA 220430Z AUTO 07016G29KT 9SM -SN OVC011 M02/M03 A2981 RMK PRESFR SLP096,CYCA,2024-03-22T04:30:00Z,53.683,-57.042,-2,-3,70,16,29,9,29.81,1009.6,,TRUE,,,,,,,-SN,OVC,1100,,,,,,,MVFR,,,,,,,,,,,,SPECI,12
BKPR 220430Z 30004KT CAVOK 04/00 Q1018 NOSIG,BKPR,2024-03-22T04:30:00Z,42.576,21.03,4,0,300,4,,6+,30.06,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,545
KMTN 220429Z AUTO 00000KT 10SM CLR 02/M08 A3035 RMK AO2,KMTN,2024-03-22T04:29:00Z,39.3214,-76.4065,2,-8,0,0,,10+,30.35,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2
KFME 220429Z AUTO 00000KT 10SM CLR M02/M07 A3035 RMK AO1,KFME,2024-03-22T04:29:00Z,39.086,-76.757,-2,-7,0,0,,10+,30.35,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,43
KSTP 220428Z 00000KT 2SM -SN BR FEW010 OVC020 M03/M04 A3023 RMK AO2 P0002 T10281044 $,KSTP,2024-03-22T04:28:00Z,44.9324,-93.0559,-2.8,-4.4,0,0,,2,30.23,,,,TRUE,TRUE,,,,,-SN BR,FEW,1000,OVC,2000,,,,,IFR,,,,,,0.02,,,,,,SPECI,213
KSEA 220428Z 00000KT 10SM BKN005 BKN010 OVC018 11/09 A3008 RMK AO2 T01060089,KSEA,2024-03-22T04:28:00Z,47.4447,-122.314,10.6,8.9,0,0,,10+,30.08,,,,TRUE,,,,,,,BKN,500,BKN,1000,OVC,1800,,,IFR,,,,,,,,,,,,SPECI,115
KNTD 220428Z 08003KT 10SM SCT012 14/12 A3009 RMK AO2 T01440122 CHINO S VISNO S $ ,KNTD,2024-03-22T04:28:00Z,34.124,-119.123,14.4,12.2,80,3,,10+,30.09,,,,TRUE,TRUE,,,,,,SCT,1200,,,,,,,VFR,,,,,,,,,,,,SPECI,1
KMWL 220428Z AUTO 24003KT 10SM SCT029 13/12 A2983 RMK AO2 T01280117,KMWL,2024-03-22T04:28:00Z,32.7816,-98.0602,12.8,11.7,240,3,,10+,29.83,,,TRUE,TRUE,,,,,,,SCT,2900,,,,,,,VFR,,,,,,,,,,,,SPECI,288
KIML 220428Z AUTO 33021G32KT 10SM FEW120 08/M03 A2986 RMK AO2 PK WND 33032/0422 WSHFT 0408 PRESRR T00781033,KIML,2024-03-22T04:28:00Z,40.5106,-101.624,7.8,-3.3,330,21,32,10+,29.86,,,TRUE,TRUE,,,,,,,FEW,12000,,,,,,,VFR,,,,,,,,,,,,SPECI,997
KCLL 220428Z AUTO 15004KT 3SM +TSRA BR FEW007 BKN038 OVC065 15/13 A2992 RMK AO2 PK WND 33032/0409 LTG DSNT ALQDS RAB14 TSB24 P0032 T01500128,KCLL,2024-03-22T04:28:00Z,30.5912,-96.3631,15,12.8,150,4,,3,29.92,,,TRUE,TRUE,,,,,,+TSRA BR,FEW,700,BKN,3800,OVC,6500,,,MVFR,,,,,,0.32,,,,,,SPECI,96
CYAH 220428Z AUTO 29009G15KT 2 1/2SM -SN OVC021 M19/M22 A3005 RMK SLP214,CYAH,2024-03-22T04:28:00Z,53.757,-73.676,-19,-22,290,9,15,2.5,30.05,1021.4,,TRUE,,,,,,,-SN,OVC,2100,,,,,,,IFR,,,,,,,,,,,,SPECI,298
PAAK 220427Z AUTO 31012KT 10SM SCT016 02/M01 A2964 RMK AO2 FZRANO,PAAK,2024-03-22T04:27:00Z,52.219,-174.208,2,-1,310,12,,10+,29.64,,,TRUE,TRUE,,,,TRUE,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,SPECI,11
KMOT 220427Z AUTO 34009KT 9SM SCT009 BKN015 OVC025 M07/M09 A3023 RMK AO2 SNE25 P0000 T10671089,KMOT,2024-03-22T04:27:00Z,48.252,-101.269,-6.7,-8.9,340,9,,9,30.23,,,TRUE,TRUE,,,,,,,SCT,900,BKN,1500,OVC,2500,,,MVFR,,,,,,0.005,,,,,,SPECI,507
KKLS 220427Z AUTO 00000KT 10SM SCT005 BKN110 10/09 A3007 RMK AO2,KKLS,2024-03-22T04:27:00Z,46.118,-122.898,10,9,0,0,,10+,30.07,,,TRUE,TRUE,,,,,,,SCT,500,BKN,11000,,,,,VFR,,,,,,,,,,,,SPECI,4
KDTN 220427Z AUTO 13010KT 10SM FEW022 BKN033 OVC090 13/11 A2994 RMK AO2 RAE06 P0000 T01330106,KDTN,2024-03-22T04:27:00Z,32.5429,-93.745,13.3,10.6,130,10,,10+,29.94,,,TRUE,TRUE,,,,,,,FEW,2200,BKN,3300,OVC,9000,,,VFR,,,,,,0.005,,,,,,SPECI,53
KATY 220427Z AUTO 07008G20KT 10SM BKN009 OVC055 M04/M07 A3009 RMK AO2 T10441067,KATY,2024-03-22T04:27:00Z,44.9045,-97.1496,-4.4,-6.7,70,8,20,10+,30.09,,,TRUE,TRUE,,,,,,,BKN,900,OVC,5500,,,,,IFR,,,,,,,,,,,,SPECI,531
EEEI 220427Z AUTO 22006KT 7000 BKN003/// OVC011/// 01/01 Q1009,EEEI,2024-03-22T04:27:00Z,59.26,24.209,1,1,220,6,,4.35,29.79,,,TRUE,,,,,,,,BKN,300,OVC,1100,,,,,LIFR,,,,,,,,,,,,SPECI,19
CZBF 220427Z AUTO 26018G28KT 5SM -SN FEW017 SCT043 BKN081 BKN091 M04/M08 A2939 RMK SLP958,CZBF,2024-03-22T04:27:00Z,47.628,-65.746,-4,-8,260,18,28,5,29.39,995.8,,TRUE,,,,,,,-SN,FEW,1700,SCT,4300,BKN,8100,BKN,9100,MVFR,,,,,,,,,,,,SPECI,60
PAMD 220426Z AUTO VRB06KT 10SM OVC005 03/02 A3017 RMK AO2 $,PAMD,2024-03-22T04:26:00Z,59.442,-146.317,3,2,VRB,6,,10+,30.17,,,TRUE,TRUE,TRUE,,,,,,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,20
PADM 220426Z AUTO 15015KT 10SM -RA BKN047 BKN060 OVC085 04/M02 A2964 RMK AO2 PK WND 14028/0411 WSHFT 0406 P0000,PADM,2024-03-22T04:26:00Z,61.865,-162.033,4,-2,150,15,,10+,29.64,,,TRUE,TRUE,,,,,,-RA,BKN,4700,BKN,6000,OVC,8500,,,VFR,,,,,,0.005,,,,,,SPECI,17
KOVS 220426Z AUTO VRB04KT -SN OVC005 M01/M03 A3016 RMK AO2 P0004 T10111028 $,KOVS,2024-03-22T04:26:00Z,43.1561,-90.6775,-1.1,-2.8,VRB,4,,,30.16,,,TRUE,TRUE,TRUE,,,,,-SN,OVC,500,,,,,,,IFR,,,,,,0.04,,,,,,SPECI,205
KGLS 220426Z AUTO 14015G25KT 9SM SCT011 BKN042 19/18 A2983 RMK AO2 T01940183,KGLS,2024-03-22T04:26:00Z,29.2704,-94.8642,19.4,18.3,140,15,25,9,29.83,,,TRUE,TRUE,,,,,,,SCT,1100,BKN,4200,,,,,VFR,,,,,,,,,,,,SPECI,2
CZVL 220426Z AUTO 35009KT 9SM -SN OVC023 M08/M10 A3030 RMK SLP310,CZVL,2024-03-22T04:26:00Z,53.67,-113.863,-8,-10,350,9,,9,30.30,1031,,TRUE,,,,,,,-SN,OVC,2300,,,,,,,MVFR,,,,,,,,,,,,SPECI,685
CYTL 220426Z AUTO 36005KT 5SM -SN BKN042 OVC066 M19/M21 A3018 RMK SLP251,CYTL,2024-03-22T04:26:00Z,53.816,-89.892,-19,-21,360,5,,5,30.18,1025.1,,TRUE,,,,,,,-SN,BKN,4200,OVC,6600,,,,,MVFR,,,,,,,,,,,,SPECI,218
CYPD 220426Z AUTO 24007G18KT 9SM -SN BKN026 BKN034 OVC043 M01/M06 A2962 RMK SLP039,CYPD,2024-03-22T04:26:00Z,45.657,-61.374,-1,-6,240,7,18,9,29.62,1003.9,,TRUE,,,,,,,-SN,BKN,2600,BKN,3400,OVC,4300,,,MVFR,,,,,,,,,,,,SPECI,106
CYMH 220426Z AUTO 06014G21KT 3/4SM -SN OVC006 M01/M02 A2967 RMK PRESFR SLP049,CYMH,2024-03-22T04:26:00Z,52.304,-55.833,-1,-2,60,14,21,0.75,29.67,1004.9,,TRUE,,,,,,,-SN,OVC,600,,,,,,,LIFR,,,,,,,,,,,,SPECI,18
CYEG 220426Z 36008KT 6SM -SN OVC035 M08/M10 A3028 RMK SC8 SLP306,CYEG,2024-03-22T04:26:00Z,53.308,-113.592,-8,-10,360,8,,6,30.28,1030.6,,,,,,,,,-SN,OVC,3500,,,,,,,VFR,,,,,,,,,,,,SPECI,710
OPLA 220425Z 11012KT 2000 -RA SCT040 BKN100 20/17 Q1013 TEMPO 34015G35KT 1500 TSRA FEW030CB RMK QFE987 A29.92,OPLA,2024-03-22T04:25:00Z,31.522,74.404,20,17,110,12,,1.24,29.91,,,,,,,,,,-RA,SCT,4000,BKN,10000,,,,,IFR,,,,,,,,,,,,METAR,217
KW40 220425Z AUTO 11006KT 10SM CLR 08/05 A3024 RMK AO2 T00800050,KW40,2024-03-22T04:25:00Z,35.2211,-78.0404,8,5,110,6,,10+,30.24,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,50
KW29 220425Z AUTO 02005KT 10SM CLR 05/M10 A3033 RMK AO2 T00551098,KW29,2024-03-22T04:25:00Z,38.9777,-76.3276,5.5,-9.8,20,5,,10+,30.33,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1
KTTA 220425Z AUTO 00000KT 10SM CLR 04/02 A3021 RMK AO2 T00440018,KTTA,2024-03-22T04:25:00Z,35.5762,-79.1035,4.4,1.8,0,0,,10+,30.21,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,71
KTDF 220425Z AUTO 06004KT 10SM CLR 03/00 A3022 RMK AO2,KTDF,2024-03-22T04:25:00Z,36.284,-78.9884,3,0,60,4,,10+,30.22,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,180
KSVH 220425Z AUTO 00000KT 10SM CLR 09/01 A3018 RMK AO2 T00910006,KSVH,2024-03-22T04:25:00Z,35.7635,-80.9473,9.1,0.6,0,0,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,286
KSMP 220425Z AUTO 00000KT 1 1/4SM -RA BR OVC011 03/03 A3005 RMK AO2 RAE05B21 P0001 T00330028 ,KSMP,2024-03-22T04:25:00Z,47.2764,-121.338,3.3,2.8,0,0,,1.25,30.05,,,TRUE,TRUE,,,,,,-RA BR,OVC,1100,,,,,,,IFR,,,,,,0.01,,,,,,SPECI,1206
KSEM 220425Z AUTO 00000KT 10SM FEW046 SCT060 BKN090 15/12 A3001 RMK AO2,KSEM,2024-03-22T04:25:00Z,32.3367,-86.9836,15,12,0,0,,10+,30.01,,,TRUE,TRUE,,,,,,,FEW,4600,SCT,6000,BKN,9000,,,VFR,,,,,,,,,,,,METAR,48
KSCR 220425Z AUTO 00000KT 10SM CLR 11/01 A3019 RMK AO2 T01110005,KSCR,2024-03-22T04:25:00Z,35.7058,-79.5051,11.1,0.5,0,0,,10+,30.19,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,182
KS85 220425Z AUTO 04004KT 5SM BR FEW008 OVC043 M07/M07 A3020 RMK A01 Culbertson ,KS85,2024-03-22T04:25:00Z,48.1525,-104.498,-7,-7,40,4,,5,30.20,,,TRUE,TRUE,,,,,,BR,FEW,800,OVC,4300,,,,,MVFR,,,,,,,,,,,,METAR,596
KRCZ 220425Z AUTO 12004KT 10SM CLR 12/06 A3018 RMK AO2 T01170061,KRCZ,2024-03-22T04:25:00Z,34.8955,-79.7576,11.7,6.1,120,4,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,110
KPGV 220425Z AUTO 14004KT 10SM CLR 08/06 A3026 RMK AO2,KPGV,2024-03-22T04:25:00Z,35.6374,-77.3851,8,6,140,4,,10+,30.26,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6
KONX 220425Z AUTO 10004KT 10SM CLR 07/02 A3030 RMK AO2 T00710017,KONX,2024-03-22T04:25:00Z,36.399,-76.014,7.1,1.7,100,4,,10+,30.30,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4
